Tarih,Ulke,Vaka,Iyilesen,Olum
2020-01-22,Turkey,0,0,0
2020-01-23,Turkey,0,0,0
2020-01-24,Turkey,0,0,0
2020-01-25,Turkey,0,0,0
2020-01-26,Turkey,0,0,0
2020-01-27,Turkey,0,0,0
2020-01-28,Turkey,0,0,0
2020-01-29,Turkey,0,0,0
2020-01-30,Turkey,0,0,0
2020-01-31,Turkey,0,0,0
2020-02-01,Turkey,0,0,0
2020-02-02,Turkey,0,0,0
2020-02-03,Turkey,0,0,0
2020-02-04,Turkey,0,0,0
2020-02-05,Turkey,0,0,0
2020-02-06,Turkey,0,0,0
2020-02-07,Turkey,0,0,0
2020-02-08,Turkey,0,0,0
2020-02-09,Turkey,0,0,0
2020-02-10,Turkey,0,0,0
2020-02-11,Turkey,0,0,0
2020-02-12,Turkey,0,0,0
2020-02-13,Turkey,0,0,0
2020-02-14,Turkey,0,0,0
2020-02-15,Turkey,0,0,0
2020-02-16,Turkey,0,0,0
2020-02-17,Turkey,0,0,0
2020-02-18,Turkey,0,0,0
2020-02-19,Turkey,0,0,0
2020-02-20,Turkey,0,0,0
2020-02-21,Turkey,0,0,0
2020-02-22,Turkey,0,0,0
2020-02-23,Turkey,0,0,0
2020-02-24,Turkey,0,0,0
2020-02-25,Turkey,0,0,0
2020-02-26,Turkey,0,0,0
2020-02-27,Turkey,0,0,0
2020-02-28,Turkey,0,0,0
2020-02-29,Turkey,0,0,0
2020-03-01,Turkey,0,0,0
2020-03-02,Turkey,0,0,0
2020-03-03,Turkey,0,0,0
2020-03-04,Turkey,0,0,0
2020-03-05,Turkey,0,0,0
2020-03-06,Turkey,0,0,0
2020-03-07,Turkey,0,0,0
2020-03-08,Turkey,0,0,0
2020-03-09,Turkey,0,0,0
2020-03-10,Turkey,0,0,0
2020-03-11,Turkey,1,0,0
2020-03-12,Turkey,1,0,0
2020-03-13,Turkey,5,0,0
2020-03-14,Turkey,5,0,0
2020-03-15,Turkey,6,0,0
2020-03-16,Turkey,18,0,0
2020-03-17,Turkey,47,0,1
2020-03-18,Turkey,98,0,1
2020-03-19,Turkey,192,0,3
2020-03-20,Turkey,359,0,4
2020-03-21,Turkey,670,0,9
2020-03-22,Turkey,1236,0,30
2020-03-23,Turkey,1529,0,37
2020-03-24,Turkey,1872,0,44
2020-03-25,Turkey,2433,26,59
2020-03-26,Turkey,3629,26,75
2020-03-27,Turkey,5698,42,92
2020-03-28,Turkey,7402,70,108
2020-03-29,Turkey,9217,105,131
2020-03-30,Turkey,10827,162,168
2020-03-31,Turkey,13531,243,214
2020-04-01,Turkey,15679,333,277
2020-04-02,Turkey,18135,415,356
2020-04-03,Turkey,20921,484,425
2020-04-04,Turkey,23934,786,501
2020-04-05,Turkey,27069,1042,574
2020-04-06,Turkey,30217,1326,649
2020-04-07,Turkey,34109,1582,725
2020-04-08,Turkey,38226,1846,812
2020-04-09,Turkey,42282,2142,908
2020-04-10,Turkey,47029,2423,1006
2020-04-11,Turkey,52167,2965,1101
2020-04-12,Turkey,56956,3446,1198
2020-04-13,Turkey,61049,3957,1296
2020-04-14,Turkey,65111,4799,1403
2020-04-15,Turkey,69392,5674,1518
2020-04-16,Turkey,74193,7089,1643
2020-04-17,Turkey,78546,8631,1769
2020-04-18,Turkey,82329,10453,1890
2020-04-19,Turkey,86306,11976,2017
2020-04-20,Turkey,90980,13430,2140
2020-04-21,Turkey,95591,14918,2259
2020-04-22,Turkey,98674,16477,2376
2020-04-23,Turkey,101790,18491,2491
2020-04-24,Turkey,104912,21737,2600
2020-04-25,Turkey,107773,25582,2706
2020-04-26,Turkey,110130,29140,2805
2020-04-27,Turkey,112261,33791,2900
