Date,Country,Confirmed,Recovered,Deaths
43853,Turkey,0,0,0
43854,Turkey,0,0,0
43855,Turkey,0,0,0
43856,Turkey,0,0,0
43857,Turkey,0,0,0
43858,Turkey,0,0,0
43859,Turkey,0,0,0
43860,Turkey,0,0,0
43861,Turkey,0,0,0
43862,Turkey,0,0,0
43863,Turkey,0,0,0
43864,Turkey,0,0,0
43865,Turkey,0,0,0
43866,Turkey,0,0,0
43867,Turkey,0,0,0
43868,Turkey,0,0,0
43869,Turkey,0,0,0
43870,Turkey,0,0,0
43871,Turkey,0,0,0
43872,Turkey,0,0,0
43873,Turkey,0,0,0
43874,Turkey,0,0,0
43875,Turkey,0,0,0
43876,Turkey,0,0,0
43877,Turkey,0,0,0
43878,Turkey,0,0,0
43879,Turkey,0,0,0
43880,Turkey,0,0,0
43881,Turkey,0,0,0
43882,Turkey,0,0,0
43883,Turkey,0,0,0
43884,Turkey,0,0,0
43885,Turkey,0,0,0
43886,Turkey,0,0,0
43887,Turkey,0,0,0
43888,Turkey,0,0,0
43889,Turkey,0,0,0
43890,Turkey,0,0,0
43891,Turkey,0,0,0
43892,Turkey,0,0,0
43893,Turkey,0,0,0
43894,Turkey,0,0,0
43895,Turkey,0,0,0
43896,Turkey,0,0,0
43897,Turkey,0,0,0
43898,Turkey,0,0,0
43899,Turkey,0,0,0
43900,Turkey,0,0,0
43901,Turkey,1,0,0
43902,Turkey,1,0,0
43903,Turkey,5,0,0
43904,Turkey,5,0,0
43905,Turkey,6,0,0
43906,Turkey,18,0,0
43907,Turkey,47,0,1
43908,Turkey,98,0,1
43909,Turkey,192,0,3
43910,Turkey,359,0,4
43911,Turkey,670,0,9
43912,Turkey,1236,0,30
43913,Turkey,1529,0,37
43914,Turkey,1872,0,44
43915,Turkey,2433,26,59
43916,Turkey,3629,26,75
43917,Turkey,5698,42,92
43918,Turkey,7402,70,108
43919,Turkey,9217,105,131
43920,Turkey,10827,162,168
43921,Turkey,13531,243,214
43922,Turkey,15679,333,277
43923,Turkey,18135,415,356
43924,Turkey,20921,484,425
43925,Turkey,23934,786,501
43926,Turkey,27069,1042,574
43927,Turkey,30217,1326,649
43928,Turkey,34109,1582,725
43929,Turkey,38226,1846,812
43930,Turkey,42282,2142,908
43931,Turkey,47029,2423,1006
43932,Turkey,52167,2965,1101
43933,Turkey,56956,3446,1198
43934,Turkey,61049,3957,1296
43935,Turkey,65111,4799,1403
43936,Turkey,69392,5674,1518
43937,Turkey,74193,7089,1643
43938,Turkey,78546,8631,1769
43939,Turkey,82329,10453,1890
43940,Turkey,86306,11976,2017
43941,Turkey,90980,13430,2140
43942,Turkey,95591,14918,2259
43943,Turkey,98674,16477,2376
43944,Turkey,101790,18491,2491
43945,Turkey,104912,21737,2600
43946,Turkey,107773,25582,2706
43947,Turkey,110130,29140,2805
43948,Turkey,112261,33791,2900
43949,Turkey,114653,38809,2992
43950,Turkey,117589,44040,3081
43951,Turkey,120204,48886,3174
43952,Turkey,122392,53808,3258
43953,Turkey,124375,58259,3336
43954,Turkey,126045,63151,3397
43955,Turkey,127659,68166,3461
43956,Turkey,129491,73285,3520
43957,Turkey,131744,78202,3584
43958,Turkey,133721,82984,3641
43959,Turkey,135569,86396,3689
43960,Turkey,137115,89480,3739
43961,Turkey,138657,92691,3786
43962,Turkey,139771,95780,3841
43963,Turkey,141475,98889,3894
43964,Turkey,143114,101715,3952
43965,Turkey,144749,104030,4007
43966,Turkey,146457,106133,4055
43967,Turkey,148067,108137,4096
43968,Turkey,149435,109962,4140
43969,Turkey,150593,111577,4171
43970,Turkey,151615,112895,4199
43971,Turkey,152587,113987,4222
43972,Turkey,153548,114990,4249
43973,Turkey,154500,116111,4276
43974,Turkey,155686,117602,4308
43975,Turkey,156827,118694,4340
43976,Turkey,157814,120015,4369
43977,Turkey,158762,121507,4397
43978,Turkey,159797,122793,4431
43979,Turkey,160979,124369,4461
43980,Turkey,162120,125963,4489
43981,Turkey,163103,126984,4515
43982,Turkey,163942,127973,4540
43983,Turkey,164769,128947,4563
43984,Turkey,165555,129921,4585
43985,Turkey,166422,130852,4609
43986,Turkey,167410,131778,4630
43987,Turkey,168340,133400,4648
43988,Turkey,169218,135322,4669
43989,Turkey,170132,137969,4692
43990,Turkey,171121,141380,4711
43991,Turkey,172114,144598,4729
43992,Turkey,173036,146839,4746
43993,Turkey,174023,147860,4763
43994,Turkey,175218,149102,4778
43995,Turkey,176677,150087,4792
43996,Turkey,178239,151417,4807
43997,Turkey,179831,152364,4825
43998,Turkey,181298,153379,4842
43999,Turkey,182727,154640,4861
44000,Turkey,184031,156022,4882
44001,Turkey,185245,157516,4905
44002,Turkey,186493,158828,4927
44003,Turkey,187685,160240,4950
44004,Turkey,188897,161533,4974
44005,Turkey,190165,162848,5001
44006,Turkey,191657,164234,5025
44007,Turkey,193115,165706,5046
44008,Turkey,194511,167198,5065
44009,Turkey,195883,169182,5082
44010,Turkey,197239,170595,5097
44011,Turkey,198613,171809,5115
44012,Turkey,199906,173111,5131
