Rk, ,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Trae Young,21,60,60,35.3,44205,44428,.437,44289,44325,.361,44382,44297,.501,.519,8.0,44264,.860,0.5,44380,44259,44264,44197,0.1,44412,44378,44376
2,John Collins,22,41,41,33.2,44355,44422,.583,44287,44350,.401,44234,44238,.642,.632,44441,44380,.800,44410,44262,44206,44317,0.8,44348,44409,44289,44368
3,De'Andre Hunter,22,63,62,32.0,44290,44418,.410,44378,44412,.355,44379,6.0,.454,.489,44378,44257,.764,0.7,44411,44320,44409,0.7,0.3,44348,44441,44267
4,Kevin Huerter,21,56,48,31.4,44320,44449,.413,44257,6.0,.380,44229,44443,.453,.517,0.9,44197,.828,0.6,44289,44200,44411,0.9,0.5,44348,44318,44239
5,Cam Reddish,20,58,34,44403,44380,44356,.384,44287,44259,.332,44229,44232,.428,.459,44378,44229,.802,0.6,44199,44380,44317,44197,0.5,44378,44257,44326
6,Jabari Parker,24,32,23,44253,44233,44267,.504,1.0,44350,.270,44232,44385,.601,.543,44378,44257,.736,44378,44259,6.0,44409,44256,0.5,44440,44441,15.0
7,Dewayne Dedmon,30,10,8,44278,44258,44294,.393,0.8,44350,.222,44318,44412,.521,.440,0.7,0.8,.875,44287,44414,44235,0.7,1.0,44317,1.0,4.0,44204
8,DeAndre' Bembry,25,43,4,44276,44288,44260,.456,0.3,44317,.231,44198,44411,.546,.489,0.6,44197,.542,0.8,44379,44319,44440,44256,0.4,44287,2.0,44413
9,Jeff Teague,31,25,4,44428,44379,44353,.412,0.4,44228,.333,44257,44291,.430,.442,44440,44198,.887,0.5,44378,44229,4.0,0.8,0.2,44348,44287,44384
10,Allen Crabbe,27,28,1,44365,44440,44201,.364,44197,44258,.323,0.8,44409,.440,.469,0.3,0.4,.750,0.4,2.0,44257,1.0,0.5,0.1,0.4,44256,44201
11,Alex Len,26,40,9,44365,44350,44322,.546,0.4,44287,.250,44230,44201,.627,.573,44256,2.0,.630,44378,4.0,44413,44197,0.5,0.8,1.0,44257,44385
12,Damian Jones,24,55,27,44212,44229,44230,.680,0.0,0.2,.222,44229,44199,.704,.685,44197,44317,.738,44256,44288,44380,0.6,0.5,0.7,0.5,44379,44352
13,Vince Carter,43,60,0,44361,44409,44201,.352,1.0,44289,.302,0.8,44378,.451,.452,0.4,0.5,.793,0.3,44409,44198,0.8,0.4,0.4,0.6,44317,5.0
14,Evan Turner,31,19,0,44240,44256,44319,.373,0.0,0.3,.000,44256,44258,.403,.373,0.6,0.7,.857,0.4,44348,2.0,2.0,0.5,0.4,44287,44197,44258
15,Bruno Fernando,21,56,13,44389,44409,44350,.518,0.1,0.7,.135,44409,44441,.605,.530,0.5,0.9,.569,44228,44257,44319,0.9,0.3,0.3,0.8,44440,44259
16,Brandon Goodwin,24,34,1,44359,44229,44352,.400,0.8,44349,.299,44317,3.0,.485,.468,0.8,0.9,.933,0.3,44409,44198,44317,0.4,0.1,0.9,44256,44202
17,Treveon Graham,26,22,0,44208,44197,3.0,.373,0.6,44378,.351,0.5,44287,.400,.470,0.4,0.9,.474,1.0,44256,44257,0.7,0.3,0.2,0.5,44348,44258
18,Tyrone Wallace,25,14,0,44297,1.0,44199,.318,0.1,44197,.067,0.9,44198,.448,.330,0.8,44228,.647,0.2,44287,44348,0.9,0.5,0.1,0.7,44287,44441
19,Chandler Parsons,31,5,0,44418,1.0,44350,.278,0.8,44410,.286,0.2,0.8,.250,.389,0.0,0.0,,0.2,44228,44287,0.6,0.8,0.2,0.6,0.6,44410
20,Paul Watson,25,2,0,44324,0.0,44319,.000,0.0,44317,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,44317,0.5,0.0,0.0,0.5,0.0
21,Charlie Brown,22,10,0,4.0,0.6,44440,.316,0.3,0.9,.333,0.3,1.0,.300,.395,0.5,0.5,1000,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.
