"Date","Confirmed","Recovered","Deaths","Active"
"1/22/2020","0","0","0","0"
"1/23/2020","0","0","0","0"
"1/24/2020","0","0","0","0"
"1/25/2020","0","0","0","0"
"1/26/2020","0","0","0","0"
"1/27/2020","0","0","0","0"
"1/28/2020","0","0","0","0"
"1/29/2020","0","0","0","0"
"1/30/2020","0","0","0","0"
"1/31/2020","0","0","0","0"
"2/1/2020","0","0","0","0"
"2/2/2020","0","0","0","0"
"2/3/2020","0","0","0","0"
"2/4/2020","0","0","0","0"
"2/5/2020","0","0","0","0"
"2/6/2020","0","0","0","0"
"2/7/2020","0","0","0","0"
"2/8/2020","0","0","0","0"
"2/9/2020","0","0","0","0"
"2/10/2020","0","0","0","0"
"2/11/2020","0","0","0","0"
"2/12/2020","0","0","0","0"
"2/13/2020","0","0","0","0"
"2/14/2020","0","0","0","0"
"2/15/2020","0","0","0","0"
"2/16/2020","0","0","0","0"
"2/17/2020","0","0","0","0"
"2/18/2020","0","0","0","0"
"2/19/2020","0","0","0","0"
"2/20/2020","0","0","0","0"
"2/21/2020","0","0","0","0"
"2/22/2020","0","0","0","0"
"2/23/2020","0","0","0","0"
"2/24/2020","0","0","0","0"
"2/25/2020","0","0","0","0"
"2/26/2020","0","0","0","0"
"2/27/2020","0","0","0","0"
"2/28/2020","0","0","0","0"
"2/29/2020","0","0","0","0"
"3/1/2020","0","0","0","0"
"3/2/2020","0","0","0","0"
"3/3/2020","0","0","0","0"
"3/4/2020","0","0","0","0"
"3/5/2020","0","0","0","0"
"3/6/2020","0","0","0","0"
"3/7/2020","0","0","0","0"
"3/8/2020","0","0","0","0"
"3/9/2020","0","0","0","0"
"3/10/2020","0","0","0","0"
"3/11/2020","1","0","0","1"
"3/12/2020","1","0","0","1"
"3/13/2020","5","0","0","5"
"3/14/2020","5","0","0","5"
"3/15/2020","6","0","0","6"
"3/16/2020","18","0","0","18"
"3/17/2020","47","0","1","46"
"3/18/2020","98","0","1","97"
"3/19/2020","192","0","3","189"
"3/20/2020","359","0","4","355"
"3/21/2020","670","0","9","661"
"3/22/2020","1236","0","30","1206"
"3/23/2020","1529","0","37","1492"
"3/24/2020","1872","0","44","1828"
"3/25/2020","2433","26","59","2348"
"3/26/2020","3629","26","75","3528"
"3/27/2020","5698","42","92","5564"
"3/28/2020","7402","70","108","7224"
"3/29/2020","9217","105","131","8981"
"3/30/2020","10827","162","168","10497"
"3/31/2020","13531","243","214","13074"
"4/1/2020","15679","333","277","15069"
"4/2/2020","18135","415","356","17364"
"4/3/2020","20921","484","425","20012"
"4/4/2020","23934","786","501","22647"
"4/5/2020","27069","1042","574","25453"
"4/6/2020","30217","1326","649","28242"
"4/7/2020","34109","1582","725","31802"
"4/8/2020","38226","1846","812","35568"
"4/9/2020","42282","2142","908","39232"
"4/10/2020","47029","2423","1006","43600"
"4/11/2020","52167","2965","1101","48101"
"4/12/2020","56956","3446","1198","52312"
"4/13/2020","61049","3957","1296","55796"
"4/14/2020","65111","4799","1403","58909"
"4/15/2020","69392","5674","1518","62200"
"4/16/2020","74193","7089","1643","65461"
"4/17/2020","78546","8631","1769","68146"
"4/18/2020","82329","10453","1890","69986"
"4/19/2020","86306","11976","2017","72313"
"4/20/2020","90980","13430","2140","75410"
"4/21/2020","95591","14918","2259","78414"
"4/22/2020","98674","16477","2376","79821"
"4/23/2020","101790","18491","2491","80808"
"4/24/2020","104912","21737","2600","80575"
"4/25/2020","107773","25582","2706","79485"
"4/26/2020","110130","29140","2805","78185"
"4/27/2020","112261","33791","2900","75570"
"4/28/2020","114653","38809","2992","72852"
"4/29/2020","117589","44040","3081","70468"
"4/30/2020","120204","48886","3174","68144"
